Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Loss,Vegetarian,Gym,Day 24,Lunch,Veg Khichdi,690,44.5,71.5,13.6,HIIT,Weight Loss focused training,Clear Skin,Amla juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 20,Snack,Fish Curry,566,44.3,30.6,22,Strength Training,Weight Gain focused training,Glowing Skin,Turmeric milk,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 11,Dinner,Egg Omelette,384,28,84.7,19.5,Cardio,Weight Gain focused training,Reduce Pimples,Beetroot juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 26,Snack,Veg Khichdi,721,32.2,30.3,26.9,HIIT,Weight Loss focused training,Reduce Pimples,Coconut water,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 28,Lunch,Vegan Smoothie,628,21.3,62,15,Stretching,Weight Loss focused training,Glowing Skin,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 11,Lunch,Chickpea Salad,262,36.3,55.9,16.7,Yoga,Weight Loss focused training,Glowing Skin,Turmeric milk,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 13,Breakfast,Fish Curry,656,16.7,74,10.9,Strength Training,Weight Loss focused training,Reduce Pimples,Beetroot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 25,Breakfast,Veg Khichdi,576,10.5,20.1,11,Cardio,Weight Maintain focused training,Clear Skin,Turmeric milk,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 20,Breakfast,Paneer Bowl,420,35.1,44,12,Stretching,Weight Loss focused training,Clear Skin,Coconut water,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 25,Dinner,Quinoa Salad,649,21,51.8,10.5,HIIT,Weight Gain focused training,Hair Growth,Coconut water,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 12,Dinner,Grilled Chicken Salad,252,37.6,28,16.6,HIIT,Weight Loss focused training,Anti-Aging,Coconut water,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 21,Dinner,Oats & Fruits,623,38.5,22.7,14.7,Strength Training,Weight Loss focused training,Clear Skin,Green tea,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 16,Dinner,Grilled Chicken Salad,652,35.9,58.6,19.7,Yoga,Weight Gain focused training,Hair Growth,Green tea,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 2,Snack,Dal & Rice,593,27.4,56.7,21.6,Cardio,Weight Maintain focused training,Glowing Skin,Amla juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 7,Dinner,Chickpea Salad,557,15.4,72,26.1,HIIT,Weight Loss focused training,Reduce Pimples,Turmeric milk,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 23,Lunch,Fish Curry,702,16.7,82.4,20.9,Stretching,Weight Loss focused training,Anti-Aging,Coconut water,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 15,Lunch,Chickpea Salad,742,17.4,87,29.6,Stretching,Weight Gain focused training,Clear Skin,Turmeric milk,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 14,Lunch,Quinoa Salad,738,25.6,30.1,13.1,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Coconut water,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 24,Lunch,Lentil Soup,666,31.6,69.5,9.2,Strength Training,Weight Loss focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 18,Lunch,Chicken Rice,742,12.6,79,28.7,Cardio,Weight Gain focused training,Glowing Skin,Amla juice,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 13,Snack,Dal & Rice,303,36.5,24.6,5.4,Yoga,Weight Loss focused training,Clear Skin,Green tea,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 19,Lunch,Veg Khichdi,512,23.3,24.7,20,Strength Training,Weight Maintain focused training,Anti-Aging,Coconut water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 17,Dinner,Fish Curry,371,31.3,84.4,10.4,HIIT,Weight Gain focused training,Fresh Blood Circulation,Warm lemon water,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 30,Dinner,Egg Omelette,256,19.4,38.2,13.2,Yoga,Weight Loss focused training,Glowing Skin,Beetroot juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 28,Lunch,Chickpea Salad,309,20.8,32.6,11.3,Strength Training,Weight Maintain focused training,Anti-Aging,Coconut water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 22,Breakfast,Chicken Rice,425,44.7,73.7,21.9,Cardio,Weight Gain focused training,Fresh Blood Circulation,Turmeric milk,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 6,Lunch,Quinoa Salad,638,38.1,34.4,11,Strength Training,Weight Gain focused training,Fresh Blood Circulation,Turmeric milk,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 18,Snack,Grilled Chicken Salad,261,31.2,69.2,23.3,Yoga,Weight Gain focused training,Hair Growth,Green tea,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 3,Breakfast,Paneer Bowl,448,18.1,70.6,19.2,Stretching,Weight Maintain focused training,Reduce Pimples,Green tea,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 28,Breakfast,Chicken Rice,682,17.9,38.2,5,Yoga,Weight Gain focused training,Anti-Aging,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 8,Breakfast,Veg Khichdi,692,13.9,73.8,10,Stretching,Weight Gain focused training,Reduce Pimples,Amla juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 25,Lunch,Chicken Rice,276,14.1,22.6,24.9,Yoga,Weight Loss focused training,Reduce Pimples,Turmeric milk,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 23,Dinner,Paneer Bowl,540,26.8,33.7,15.8,HIIT,Weight Maintain focused training,Glowing Skin,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 22,Dinner,Vegan Smoothie,517,39.1,44.6,20.6,Strength Training,Weight Loss focused training,Glowing Skin,Carrot juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 4,Lunch,Tofu Stir Fry,529,21.2,69.4,17,HIIT,Weight Maintain focused training,Reduce Pimples,Coconut water,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 22,Lunch,Veg Khichdi,648,20.5,76.7,27.5,HIIT,Weight Loss focused training,Glowing Skin,Green tea,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 20,Snack,Chicken Rice,264,14.6,36.5,21.8,Stretching,Weight Loss focused training,Glowing Skin,Turmeric milk,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 15,Breakfast,Grilled Chicken Salad,283,43.2,77.8,29.7,Stretching,Weight Loss focused training,Reduce Pimples,Carrot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 7,Lunch,Tofu Stir Fry,366,38.7,77.7,14.2,HIIT,Weight Gain focused training,Anti-Aging,Turmeric milk,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 15,Snack,Chicken Rice,691,27,63.8,9.9,Stretching,Weight Loss focused training,Hair Growth,Turmeric milk,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 21,Dinner,Oats & Fruits,733,22,40.4,14.1,Strength Training,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 30,Snack,Egg Omelette,432,34.8,72.1,6.4,HIIT,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 30,Dinner,Paneer Bowl,626,22.8,35.1,29.6,Yoga,Weight Loss focused training,Glowing Skin,Carrot juice,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 2,Breakfast,Chickpea Salad,453,24.6,89.6,5.1,HIIT,Weight Gain focused training,Glowing Skin,Warm lemon water,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 3,Lunch,Vegan Smoothie,567,37.7,66,13.3,Cardio,Weight Gain focused training,Fresh Blood Circulation,Green tea,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 21,Breakfast,Dal & Rice,376,42.3,23.6,24.9,Cardio,Weight Maintain focused training,Glowing Skin,Turmeric milk,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 16,Lunch,Paneer Bowl,651,35,89.3,14.6,Cardio,Weight Gain focused training,Hair Growth,Warm lemon water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 27,Breakfast,Chickpea Salad,419,36.8,27.3,23.7,Cardio,Weight Loss focused training,Glowing Skin,Amla juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 27,Lunch,Chicken Rice,288,25.5,28.6,7.4,HIIT,Weight Loss focused training,Anti-Aging,Turmeric milk,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 14,Lunch,Tofu Stir Fry,679,17.5,32.4,15.8,Cardio,Weight Gain focused training,Glowing Skin,Beetroot juice,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 5,Lunch,Quinoa Salad,545,26.3,32.1,16.6,Yoga,Weight Loss focused training,Reduce Pimples,Warm lemon water,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 17,Breakfast,Quinoa Salad,591,37.7,28.3,17.4,HIIT,Weight Gain focused training,Glowing Skin,Carrot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 16,Breakfast,Chicken Rice,524,26.9,26.1,11.2,Yoga,Weight Maintain focused training,Clear Skin,Amla juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 27,Lunch,Chickpea Salad,656,19.9,23.6,20,Strength Training,Weight Loss focused training,Clear Skin,Coconut water,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 7,Snack,Quinoa Salad,539,39.6,68.8,29,Yoga,Weight Loss focused training,Clear Skin,Green tea,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 16,Dinner,Chicken Rice,714,39.8,21.5,24.5,HIIT,Weight Gain focused training,Glowing Skin,Warm lemon water,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 5,Breakfast,Quinoa Salad,332,19.6,38.1,10.6,Yoga,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 21,Snack,Fish Curry,589,10.8,26,28.8,Yoga,Weight Loss focused training,Clear Skin,Amla juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 7,Breakfast,Quinoa Salad,670,30.7,85.1,21.9,Cardio,Weight Loss focused training,Anti-Aging,Carrot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 8,Breakfast,Tofu Stir Fry,613,40.2,27.4,5.2,HIIT,Weight Maintain focused training,Glowing Skin,Carrot juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 14,Dinner,Chicken Rice,302,39.5,62.3,5.8,Yoga,Weight Loss focused training,Clear Skin,Carrot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 26,Snack,Vegan Smoothie,416,43.2,73,10.2,Cardio,Weight Loss focused training,Glowing Skin,Amla juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 20,Dinner,Vegan Smoothie,571,35.6,77.6,26.2,Yoga,Weight Gain focused training,Clear Skin,Coconut water,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 17,Breakfast,Paneer Bowl,622,16.2,82.6,28.9,Cardio,Weight Maintain focused training,Glowing Skin,Carrot juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 28,Lunch,Veg Khichdi,462,14.8,87.3,8.7,Cardio,Weight Gain focused training,Reduce Pimples,Carrot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 22,Breakfast,Tofu Stir Fry,594,13,25.6,10.5,Strength Training,Weight Maintain focused training,Glowing Skin,Amla juice,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 13,Dinner,Paneer Bowl,250,39,29.4,11,Cardio,Weight Loss focused training,Reduce Pimples,Beetroot juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 10,Breakfast,Egg Omelette,418,24.3,48.5,11.9,Stretching,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 24,Dinner,Chickpea Salad,477,29.6,70.6,22.7,Cardio,Weight Gain focused training,Reduce Pimples,Warm lemon water,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 14,Dinner,Quinoa Salad,339,37.2,20,24.7,Yoga,Weight Gain focused training,Anti-Aging,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 3,Snack,Dal & Rice,332,38.9,76.3,23.1,Yoga,Weight Gain focused training,Fresh Blood Circulation,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 16,Breakfast,Lentil Soup,608,30.4,82.2,22.9,Strength Training,Weight Gain focused training,Reduce Pimples,Amla juice,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 10,Breakfast,Dal & Rice,739,16.5,57.9,14.9,Yoga,Weight Maintain focused training,Anti-Aging,Turmeric milk,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 27,Breakfast,Chickpea Salad,361,24.4,54.8,14.1,HIIT,Weight Loss focused training,Glowing Skin,Green tea,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 9,Snack,Grilled Chicken Salad,365,37,57.3,17.4,Strength Training,Weight Gain focused training,Reduce Pimples,Warm lemon water,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 21,Dinner,Chickpea Salad,594,27.1,87.5,27,Stretching,Weight Maintain focused training,Glowing Skin,Turmeric milk,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 18,Lunch,Veg Khichdi,326,26.8,67.5,6.1,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Green tea,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 26,Lunch,Veg Khichdi,514,26.9,33.5,20.1,Strength Training,Weight Gain focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 10,Lunch,Dal & Rice,501,27.6,40,26.5,Yoga,Weight Gain focused training,Hair Growth,Turmeric milk,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 3,Dinner,Egg Omelette,303,26,24.5,24.5,Yoga,Weight Loss focused training,Reduce Pimples,Green tea,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 3,Dinner,Fish Curry,709,34.6,53.5,12.4,Strength Training,Weight Gain focused training,Clear Skin,Carrot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 20,Snack,Chickpea Salad,580,39.5,23,17.2,Yoga,Weight Gain focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 19,Snack,Lentil Soup,309,41.3,67,29.2,Yoga,Weight Loss focused training,Anti-Aging,Warm lemon water,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 5,Breakfast,Dal & Rice,320,34.5,22.4,14.4,Strength Training,Weight Gain focused training,Hair Growth,Warm lemon water,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 25,Snack,Veg Khichdi,540,32.4,71.4,18.2,Strength Training,Weight Gain focused training,Hair Growth,Carrot juice,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 4,Snack,Paneer Bowl,492,38.8,40,7.5,Stretching,Weight Loss focused training,Hair Growth,Beetroot juice,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 15,Dinner,Dal & Rice,562,12.7,50.8,11.7,HIIT,Weight Loss focused training,Anti-Aging,Green tea,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 14,Lunch,Dal & Rice,584,40.9,54.3,6.6,Yoga,Weight Loss focused training,Hair Growth,Green tea,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 10,Dinner,Oats & Fruits,253,40.4,52.9,12.1,Cardio,Weight Gain focused training,Fresh Blood Circulation,Carrot juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 21,Lunch,Paneer Bowl,574,14,70.5,7.1,Cardio,Weight Gain focused training,Clear Skin,Carrot juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 21,Snack,Grilled Chicken Salad,355,21.6,51.4,24,Yoga,Weight Maintain focused training,Reduce Pimples,Amla juice,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 1,Breakfast,Dal & Rice,299,18.8,22.9,19.3,Strength Training,Weight Loss focused training,Clear Skin,Turmeric milk,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 18,Dinner,Paneer Bowl,465,31.7,74.1,9.1,Stretching,Weight Maintain focused training,Clear Skin,Carrot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
