Day,Goal,Workout_Type,Location,Exercises,Duration_Minutes,Intensity,Calories_Burned,Protein_g,Carbs_g,Fats_g,Total_Calories_Intake,Benefits
Day 1,Weight Maintain,Strength Training,Home,Split Workout,35,High,420,138,234,56,2049,Strength balance
Day 11,Weight Maintain,HIIT,Gym,Mixed HIIT,58,High,580,119,234,55,2178,Overall fitness
Day 21,Weight Gain,Cardio,Gym,Light Cycling,59,High,649,152,296,78,2871,Endurance
Day 7,Weight Loss,Cardio,Gym,Running / Cycling,35,Low,140,144,176,59,1650,"Fat loss, heart health"
Day 24,Weight Loss,Strength Training,Home,Circuit Training,60,High,720,122,175,43,1620,Muscle tone
Day 13,Weight Gain,Cardio,Home,Light Cycling,32,Low,96,165,334,70,2645,Endurance
Day 26,Weight Maintain,Strength Training,Home,Split Workout,45,High,495,125,220,53,2091,Strength balance
Day 10,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",32,High,320,128,139,50,1737,Rapid calorie burn
Day 19,Weight Loss,Cardio,Gym,Running / Cycling,68,High,816,146,162,53,1766,"Fat loss, heart health"
Day 19,Weight Gain,Strength Training,Gym,Compound Lifts,30,Low,120,179,346,75,2797,Muscle growth
Day 30,Weight Gain,Strength Training,Gym,Compound Lifts,67,High,603,161,301,60,2649,Muscle growth
Day 14,Weight Gain,Cardio,Gym,Light Cycling,52,Low,260,155,333,71,2535,Endurance
Day 7,Weight Maintain,Cardio,Gym,Jogging,34,Low,136,128,256,61,2075,Cardio fitness
Day 26,Weight Loss,Yoga,Home,Power Yoga,47,Low,188,132,180,52,1763,Flexibility & metabolism
Day 15,Weight Gain,Yoga,Gym,Hatha Yoga,75,High,900,176,324,60,2853,Recovery
Day 11,Weight Maintain,Yoga,Gym,Vinyasa Yoga,53,Medium,318,117,223,59,2074,Mobility
Day 7,Weight Loss,Strength Training,Home,Circuit Training,67,Medium,536,143,160,53,1694,Muscle tone
Day 28,Weight Gain,Strength Training,Home,Compound Lifts,37,Medium,259,146,321,79,2643,Muscle growth
Day 4,Weight Gain,Yoga,Gym,Hatha Yoga,58,Medium,348,156,313,70,2663,Recovery
Day 18,Weight Gain,Strength Training,Home,Compound Lifts,48,Low,192,166,322,78,2747,Muscle growth
Day 25,Weight Loss,Yoga,Gym,Power Yoga,74,High,666,125,176,48,1769,Flexibility & metabolism
Day 13,Weight Maintain,HIIT,Home,Mixed HIIT,43,High,430,124,230,53,2070,Overall fitness
Day 25,Weight Loss,Strength Training,Home,Circuit Training,67,High,536,133,176,49,1677,Muscle tone
Day 15,Weight Maintain,HIIT,Gym,Mixed HIIT,60,Low,180,113,211,63,2156,Overall fitness
Day 21,Weight Maintain,Cardio,Gym,Jogging,46,Low,230,124,245,54,2191,Cardio fitness
Day 21,Weight Loss,HIIT,Home,"Burpees, Jump Squats",57,Low,171,131,173,50,1673,Rapid calorie burn
Day 8,Weight Maintain,HIIT,Gym,Mixed HIIT,36,Medium,216,110,235,63,2049,Overall fitness
Day 17,Weight Loss,Yoga,Home,Power Yoga,63,Low,252,128,146,57,1886,Flexibility & metabolism
Day 24,Weight Loss,Strength Training,Gym,Circuit Training,45,Medium,225,127,152,46,1724,Muscle tone
Day 10,Weight Gain,Yoga,Home,Hatha Yoga,70,Medium,420,160,304,72,2503,Recovery
Day 21,Weight Gain,Yoga,Home,Hatha Yoga,31,Medium,155,151,281,79,2903,Recovery
Day 17,Weight Loss,Cardio,Gym,Running / Cycling,30,Low,90,128,136,56,1881,"Fat loss, heart health"
Day 13,Weight Maintain,Yoga,Gym,Vinyasa Yoga,59,Low,177,137,230,61,2181,Mobility
Day 19,Weight Gain,Cardio,Home,Light Cycling,48,High,384,151,325,79,2549,Endurance
Day 5,Weight Maintain,Yoga,Gym,Vinyasa Yoga,56,Low,168,111,223,50,2110,Mobility
Day 21,Weight Loss,HIIT,Home,"Burpees, Jump Squats",36,High,360,120,148,53,1637,Rapid calorie burn
Day 1,Weight Gain,Cardio,Home,Light Cycling,68,Low,272,171,348,71,2486,Endurance
Day 4,Weight Gain,Yoga,Gym,Hatha Yoga,42,High,504,168,343,80,2637,Recovery
Day 12,Weight Gain,Strength Training,Gym,Compound Lifts,53,High,424,147,339,68,2701,Muscle growth
Day 27,Weight Gain,HIIT,Home,Moderate HIIT,35,Low,140,149,280,66,2671,Conditioning
Day 22,Weight Maintain,HIIT,Gym,Mixed HIIT,75,High,600,130,240,59,2102,Overall fitness
Day 18,Weight Maintain,HIIT,Home,Mixed HIIT,59,Low,295,136,204,56,2137,Overall fitness
Day 26,Weight Gain,Yoga,Gym,Hatha Yoga,72,High,720,144,337,70,2430,Recovery
Day 13,Weight Maintain,Yoga,Home,Vinyasa Yoga,51,Medium,408,133,207,52,2128,Mobility
Day 23,Weight Gain,Cardio,Home,Light Cycling,73,Low,219,176,334,70,2865,Endurance
Day 21,Weight Loss,Cardio,Home,Running / Cycling,32,Low,128,145,172,49,1888,"Fat loss, heart health"
Day 26,Weight Gain,Yoga,Home,Hatha Yoga,53,High,477,156,294,72,2573,Recovery
Day 8,Weight Gain,HIIT,Home,Moderate HIIT,39,Low,117,143,357,65,2428,Conditioning
Day 17,Weight Maintain,Yoga,Home,Vinyasa Yoga,67,Low,201,138,235,62,2103,Mobility
Day 7,Weight Gain,Yoga,Home,Hatha Yoga,68,Low,340,167,309,74,2955,Recovery
Day 22,Weight Loss,Yoga,Home,Power Yoga,53,Low,212,145,145,41,1792,Flexibility & metabolism
Day 25,Weight Maintain,Strength Training,Home,Split Workout,67,Low,201,126,250,63,2168,Strength balance
Day 24,Weight Gain,HIIT,Home,Moderate HIIT,59,Medium,295,160,312,76,2601,Conditioning
Day 24,Weight Maintain,Cardio,Home,Jogging,71,Low,213,113,253,54,2039,Cardio fitness
Day 10,Weight Maintain,Yoga,Gym,Vinyasa Yoga,74,Medium,370,124,237,53,2125,Mobility
Day 23,Weight Maintain,Yoga,Home,Vinyasa Yoga,66,Low,330,125,206,63,2197,Mobility
Day 6,Weight Maintain,Cardio,Gym,Jogging,57,Medium,456,115,217,65,2119,Cardio fitness
Day 25,Weight Gain,HIIT,Gym,Moderate HIIT,53,Low,159,152,357,79,2402,Conditioning
Day 20,Weight Gain,Cardio,Home,Light Cycling,70,Medium,350,162,341,75,2843,Endurance
Day 8,Weight Maintain,Strength Training,Gym,Split Workout,68,Low,272,139,200,63,2087,Strength balance
Day 3,Weight Maintain,Strength Training,Home,Split Workout,33,High,264,136,231,64,2114,Strength balance
Day 27,Weight Gain,HIIT,Gym,Moderate HIIT,45,Low,135,171,322,69,2504,Conditioning
Day 19,Weight Loss,Yoga,Home,Power Yoga,72,High,864,148,180,59,1608,Flexibility & metabolism
Day 30,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",47,Low,235,145,175,60,1670,Rapid calorie burn
Day 27,Weight Gain,HIIT,Gym,Moderate HIIT,31,Low,93,177,322,64,2834,Conditioning
Day 3,Weight Maintain,Strength Training,Gym,Split Workout,39,High,312,115,204,63,2194,Strength balance
Day 1,Weight Maintain,Strength Training,Home,Split Workout,50,Medium,300,129,227,61,2044,Strength balance
Day 23,Weight Gain,Cardio,Home,Light Cycling,30,High,330,179,319,60,2825,Endurance
Day 26,Weight Loss,HIIT,Home,"Burpees, Jump Squats",68,High,816,123,133,52,1851,Rapid calorie burn
Day 7,Weight Maintain,Strength Training,Gym,Split Workout,68,Medium,340,136,228,63,2004,Strength balance
Day 9,Weight Gain,HIIT,Gym,Moderate HIIT,33,Low,165,176,357,71,2795,Conditioning
Day 23,Weight Maintain,Cardio,Home,Jogging,42,High,378,137,249,62,2070,Cardio fitness
Day 11,Weight Maintain,Strength Training,Gym,Split Workout,46,High,552,133,220,50,2076,Strength balance
Day 28,Weight Loss,Cardio,Home,Running / Cycling,66,High,792,140,137,44,1826,"Fat loss, heart health"
Day 23,Weight Gain,HIIT,Home,Moderate HIIT,62,Medium,496,145,357,78,2677,Conditioning
Day 23,Weight Loss,Cardio,Gym,Running / Cycling,73,High,803,127,135,54,1853,"Fat loss, heart health"
Day 3,Weight Gain,Yoga,Home,Hatha Yoga,53,Medium,318,143,286,80,2460,Recovery
Day 14,Weight Gain,Strength Training,Home,Compound Lifts,34,Medium,204,162,353,74,2961,Muscle growth
Day 9,Weight Gain,Strength Training,Home,Compound Lifts,72,Medium,432,153,323,76,2979,Muscle growth
Day 20,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",48,Low,240,142,176,40,1637,Rapid calorie burn
Day 21,Weight Loss,Strength Training,Home,Circuit Training,74,High,888,144,172,42,1804,Muscle tone
Day 5,Weight Maintain,HIIT,Home,Mixed HIIT,43,High,344,132,210,55,2182,Overall fitness
Day 8,Weight Gain,Yoga,Home,Hatha Yoga,66,Medium,330,142,305,78,2576,Recovery
Day 15,Weight Maintain,Cardio,Home,Jogging,50,Low,250,133,218,51,2104,Cardio fitness
Day 28,Weight Maintain,Cardio,Gym,Jogging,59,Medium,413,134,229,62,2141,Cardio fitness
Day 22,Weight Loss,Cardio,Gym,Running / Cycling,36,Medium,252,143,139,55,1785,"Fat loss, heart health"
Day 29,Weight Maintain,HIIT,Gym,Mixed HIIT,35,Medium,175,140,208,58,2107,Overall fitness
Day 18,Weight Gain,HIIT,Gym,Moderate HIIT,38,Medium,190,178,311,73,2993,Conditioning
Day 20,Weight Maintain,Cardio,Home,Jogging,49,Medium,343,110,257,52,2028,Cardio fitness
Day 26,Weight Maintain,Yoga,Home,Vinyasa Yoga,35,Medium,280,124,216,50,2052,Mobility
Day 18,Weight Loss,Cardio,Gym,Running / Cycling,56,Medium,448,143,161,45,1675,"Fat loss, heart health"
Day 30,Weight Maintain,Cardio,Home,Jogging,46,Medium,276,120,255,57,2105,Cardio fitness
Day 1,Weight Maintain,HIIT,Gym,Mixed HIIT,65,High,585,127,251,55,2075,Overall fitness
Day 23,Weight Loss,Cardio,Home,Running / Cycling,64,Low,320,144,180,43,1747,"Fat loss, heart health"
Day 8,Weight Maintain,Yoga,Home,Vinyasa Yoga,34,Medium,170,117,237,56,2091,Mobility
Day 8,Weight Loss,Yoga,Home,Power Yoga,47,Medium,235,137,168,46,1734,Flexibility & metabolism
Day 25,Weight Maintain,Cardio,Home,Jogging,72,High,720,119,237,53,2193,Cardio fitness
Day 11,Weight Loss,Cardio,Home,Running / Cycling,57,Low,285,146,142,44,1692,"Fat loss, heart health"
Day 18,Weight Gain,Cardio,Home,Light Cycling,40,Medium,200,171,336,78,2677,Endurance
Day 15,Weight Loss,Yoga,Home,Power Yoga,45,High,495,149,162,44,1710,Flexibility & metabolism
Day 11,Weight Gain,Cardio,Home,Light Cycling,63,Low,315,155,331,68,2746,Endurance
Day 2,Weight Gain,Yoga,Gym,Hatha Yoga,72,Low,216,153,352,77,2636,Recovery
Day 11,Weight Maintain,Cardio,Home,Jogging,57,High,456,114,208,57,2130,Cardio fitness
Day 27,Weight Loss,Yoga,Gym,Power Yoga,63,High,630,130,162,57,1676,Flexibility & metabolism
Day 3,Weight Loss,Cardio,Gym,Running / Cycling,63,Low,315,146,157,54,1654,"Fat loss, heart health"
Day 6,Weight Loss,Strength Training,Gym,Circuit Training,72,Medium,504,127,149,52,1805,Muscle tone
Day 5,Weight Loss,HIIT,Home,"Burpees, Jump Squats",73,High,876,136,174,43,1656,Rapid calorie burn
Day 29,Weight Loss,Strength Training,Gym,Circuit Training,45,Low,135,140,146,54,1748,Muscle tone
Day 24,Weight Loss,HIIT,Home,"Burpees, Jump Squats",69,High,759,126,180,58,1760,Rapid calorie burn
Day 14,Weight Maintain,Yoga,Gym,Vinyasa Yoga,66,Low,198,119,228,60,2029,Mobility
Day 3,Weight Maintain,Strength Training,Home,Split Workout,40,Low,160,138,202,53,2083,Strength balance
Day 7,Weight Gain,Yoga,Gym,Hatha Yoga,70,Medium,350,146,348,63,2748,Recovery
Day 16,Weight Loss,Cardio,Gym,Running / Cycling,59,Medium,295,135,142,46,1616,"Fat loss, heart health"
Day 9,Weight Loss,Cardio,Home,Running / Cycling,40,Low,160,125,156,41,1626,"Fat loss, heart health"
Day 11,Weight Gain,HIIT,Gym,Moderate HIIT,37,Low,148,178,345,63,2827,Conditioning
Day 9,Weight Maintain,Cardio,Gym,Jogging,60,Medium,360,111,228,53,2185,Cardio fitness
Day 29,Weight Gain,Cardio,Home,Light Cycling,36,Medium,252,142,341,75,2994,Endurance
Day 18,Weight Maintain,Strength Training,Home,Split Workout,41,High,369,118,221,65,2181,Strength balance
Day 30,Weight Loss,Cardio,Gym,Running / Cycling,69,Low,276,135,154,47,1680,"Fat loss, heart health"
Day 12,Weight Maintain,Strength Training,Gym,Split Workout,33,Medium,264,125,212,52,2019,Strength balance
Day 7,Weight Loss,Yoga,Gym,Power Yoga,43,Low,172,134,162,52,1865,Flexibility & metabolism
Day 21,Weight Maintain,HIIT,Home,Mixed HIIT,64,Medium,384,127,207,52,2027,Overall fitness
Day 12,Weight Maintain,HIIT,Gym,Mixed HIIT,47,Low,141,114,226,53,2164,Overall fitness
Day 5,Weight Gain,Cardio,Home,Light Cycling,64,High,576,162,285,61,2936,Endurance
Day 18,Weight Gain,HIIT,Home,Moderate HIIT,32,Medium,160,166,308,78,2722,Conditioning
Day 30,Weight Gain,Strength Training,Home,Compound Lifts,53,Medium,371,162,308,69,2591,Muscle growth
Day 13,Weight Gain,HIIT,Gym,Moderate HIIT,71,High,568,167,351,63,2706,Conditioning
Day 16,Weight Maintain,Cardio,Gym,Jogging,74,Medium,444,120,200,59,2196,Cardio fitness
Day 1,Weight Loss,Yoga,Home,Power Yoga,75,Low,225,121,146,45,1858,Flexibility & metabolism
Day 13,Weight Gain,Strength Training,Home,Compound Lifts,73,Low,219,147,313,71,2921,Muscle growth
Day 23,Weight Maintain,HIIT,Gym,Mixed HIIT,56,Medium,448,116,223,57,2171,Overall fitness
Day 17,Weight Loss,Yoga,Gym,Power Yoga,46,Medium,230,129,174,40,1806,Flexibility & metabolism
Day 8,Weight Gain,Strength Training,Gym,Compound Lifts,45,Medium,360,153,323,62,2942,Muscle growth
Day 19,Weight Maintain,Strength Training,Gym,Split Workout,73,Medium,438,113,256,54,2037,Strength balance
Day 6,Weight Gain,Yoga,Home,Hatha Yoga,48,Low,240,164,340,63,2939,Recovery
Day 18,Weight Maintain,Cardio,Gym,Jogging,31,High,372,126,219,58,2049,Cardio fitness
Day 29,Weight Loss,Strength Training,Gym,Circuit Training,47,Medium,282,148,147,47,1717,Muscle tone
Day 17,Weight Loss,Yoga,Home,Power Yoga,63,Low,189,134,168,50,1682,Flexibility & metabolism
Day 19,Weight Gain,HIIT,Gym,Moderate HIIT,69,Low,345,161,358,69,2969,Conditioning
Day 6,Weight Gain,Strength Training,Home,Compound Lifts,66,Medium,396,145,291,75,2925,Muscle growth
Day 11,Weight Loss,Strength Training,Home,Circuit Training,48,Low,192,147,152,48,1747,Muscle tone
Day 8,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",67,Medium,402,149,169,44,1863,Rapid calorie burn
Day 6,Weight Loss,Yoga,Home,Power Yoga,60,High,600,129,168,56,1869,Flexibility & metabolism
Day 15,Weight Gain,Strength Training,Gym,Compound Lifts,72,Medium,360,152,301,72,2504,Muscle growth
Day 25,Weight Gain,HIIT,Home,Moderate HIIT,32,Medium,224,153,349,76,2558,Conditioning
Day 4,Weight Gain,Cardio,Home,Light Cycling,37,Low,148,149,341,79,2430,Endurance
Day 23,Weight Maintain,Strength Training,Home,Split Workout,56,High,504,134,243,61,2066,Strength balance
Day 5,Weight Loss,Yoga,Home,Power Yoga,36,Medium,216,150,169,57,1782,Flexibility & metabolism
Day 19,Weight Maintain,Yoga,Home,Vinyasa Yoga,50,Medium,300,112,222,53,2165,Mobility
Day 9,Weight Gain,Yoga,Home,Hatha Yoga,31,High,279,174,336,62,2992,Recovery
Day 14,Weight Gain,Cardio,Home,Light Cycling,70,High,700,157,343,60,2946,Endurance
Day 4,Weight Maintain,HIIT,Gym,Mixed HIIT,75,High,900,137,234,65,2199,Overall fitness
Day 19,Weight Gain,Strength Training,Home,Compound Lifts,71,High,639,140,324,80,2695,Muscle growth
Day 28,Weight Loss,HIIT,Home,"Burpees, Jump Squats",46,Medium,276,145,171,51,1614,Rapid calorie burn
Day 6,Weight Maintain,Strength Training,Gym,Split Workout,41,Low,164,131,207,65,2004,Strength balance
Day 19,Weight Maintain,Strength Training,Home,Split Workout,64,Low,256,117,237,51,2068,Strength balance
Day 24,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",30,Low,90,150,144,40,1711,Rapid calorie burn
Day 11,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",64,Low,256,140,148,52,1755,Rapid calorie burn
Day 23,Weight Loss,Yoga,Home,Power Yoga,36,Medium,180,128,159,59,1674,Flexibility & metabolism
Day 22,Weight Loss,Yoga,Gym,Power Yoga,67,Low,268,124,177,47,1736,Flexibility & metabolism
Day 28,Weight Maintain,Strength Training,Home,Split Workout,37,Low,148,129,236,60,2047,Strength balance
Day 2,Weight Loss,Cardio,Home,Running / Cycling,42,Low,126,142,139,47,1612,"Fat loss, heart health"
Day 25,Weight Gain,Yoga,Home,Hatha Yoga,64,Low,320,171,296,62,2415,Recovery
Day 28,Weight Gain,Cardio,Gym,Light Cycling,72,Low,288,149,331,71,2665,Endurance
Day 11,Weight Loss,Strength Training,Gym,Circuit Training,48,Medium,384,132,180,58,1637,Muscle tone
Day 21,Weight Gain,HIIT,Home,Moderate HIIT,65,Low,260,158,344,62,2628,Conditioning
Day 3,Weight Loss,Strength Training,Gym,Circuit Training,71,Low,355,132,155,50,1727,Muscle tone
Day 27,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",35,Medium,245,126,139,43,1762,Rapid calorie burn
Day 7,Weight Loss,HIIT,Home,"Burpees, Jump Squats",59,High,472,149,138,57,1750,Rapid calorie burn
Day 4,Weight Maintain,Cardio,Home,Jogging,64,Low,256,131,208,64,2153,Cardio fitness
Day 25,Weight Maintain,HIIT,Home,Mixed HIIT,74,Medium,518,136,235,58,2190,Overall fitness
Day 16,Weight Maintain,Cardio,Gym,Jogging,67,High,670,133,208,56,2162,Cardio fitness
Day 7,Weight Gain,Cardio,Home,Light Cycling,31,Low,155,150,349,62,2494,Endurance
Day 9,Weight Maintain,Cardio,Gym,Jogging,55,Low,165,132,250,59,2118,Cardio fitness
Day 17,Weight Gain,Yoga,Home,Hatha Yoga,74,Medium,592,155,338,79,2470,Recovery
Day 21,Weight Maintain,Cardio,Gym,Jogging,53,High,530,115,235,65,2147,Cardio fitness
Day 20,Weight Maintain,HIIT,Home,Mixed HIIT,70,Low,280,136,230,55,2152,Overall fitness
Day 27,Weight Gain,Strength Training,Home,Compound Lifts,64,Low,320,171,344,77,2794,Muscle growth
Day 10,Weight Gain,Yoga,Home,Hatha Yoga,48,High,576,152,327,60,2561,Recovery
Day 5,Weight Gain,HIIT,Gym,Moderate HIIT,64,Low,256,167,349,70,2998,Conditioning
Day 6,Weight Gain,Strength Training,Home,Compound Lifts,60,Medium,300,154,308,69,2642,Muscle growth
Day 20,Weight Gain,HIIT,Gym,Moderate HIIT,50,Low,150,144,280,64,2645,Conditioning
Day 25,Weight Maintain,Strength Training,Home,Split Workout,49,Medium,294,114,215,61,2045,Strength balance
Day 12,Weight Gain,Yoga,Home,Hatha Yoga,72,Low,360,155,338,75,2628,Recovery
Day 29,Weight Maintain,Yoga,Home,Vinyasa Yoga,56,High,672,130,216,59,2115,Mobility
Day 25,Weight Maintain,Yoga,Gym,Vinyasa Yoga,69,High,828,140,219,50,2131,Mobility
Day 21,Weight Gain,Cardio,Gym,Light Cycling,41,Low,205,144,316,67,2985,Endurance
Day 29,Weight Gain,Strength Training,Home,Compound Lifts,64,High,640,160,296,73,2645,Muscle growth
Day 15,Weight Gain,Cardio,Gym,Light Cycling,71,High,852,165,343,62,2548,Endurance
Day 24,Weight Maintain,Strength Training,Home,Split Workout,36,Medium,180,128,255,55,2026,Strength balance
Day 4,Weight Gain,Yoga,Gym,Hatha Yoga,43,Medium,258,167,304,75,2862,Recovery
Day 27,Weight Loss,Yoga,Gym,Power Yoga,35,Low,175,124,154,56,1721,Flexibility & metabolism
Day 8,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",57,Medium,456,143,131,56,1813,Rapid calorie burn
Day 7,Weight Gain,Cardio,Gym,Light Cycling,37,Low,185,160,350,66,2741,Endurance
Day 7,Weight Maintain,Yoga,Home,Vinyasa Yoga,73,Low,365,113,224,53,2009,Mobility
Day 2,Weight Gain,Cardio,Home,Light Cycling,49,Low,196,170,327,69,2702,Endurance
Day 22,Weight Gain,Yoga,Home,Hatha Yoga,50,High,550,158,340,64,2609,Recovery
Day 14,Weight Gain,Yoga,Gym,Hatha Yoga,74,High,592,147,325,67,2854,Recovery
Day 18,Weight Loss,HIIT,Home,"Burpees, Jump Squats",31,Low,93,123,150,59,1704,Rapid calorie burn
Day 9,Weight Loss,Cardio,Home,Running / Cycling,40,High,320,126,146,60,1861,"Fat loss, heart health"
Day 5,Weight Maintain,HIIT,Gym,Mixed HIIT,67,Medium,536,119,231,64,2164,Overall fitness
Day 1,Weight Loss,Strength Training,Home,Circuit Training,70,Low,210,150,143,55,1738,Muscle tone
Day 22,Weight Maintain,Cardio,Gym,Jogging,67,Medium,402,134,222,53,2050,Cardio fitness
Day 30,Weight Gain,Yoga,Gym,Hatha Yoga,42,High,420,161,286,61,2890,Recovery
Day 9,Weight Loss,Yoga,Gym,Power Yoga,63,Medium,504,134,161,46,1669,Flexibility & metabolism
Day 10,Weight Maintain,HIIT,Home,Mixed HIIT,45,Medium,270,127,212,58,2157,Overall fitness
Day 14,Weight Loss,Yoga,Gym,Power Yoga,36,Low,144,141,151,52,1874,Flexibility & metabolism
Day 5,Weight Gain,Yoga,Home,Hatha Yoga,30,High,360,152,291,65,2589,Recovery
Day 6,Weight Loss,Cardio,Gym,Running / Cycling,74,Low,222,120,149,45,1622,"Fat loss, heart health"
Day 12,Weight Maintain,Cardio,Home,Jogging,56,Low,224,131,236,64,2133,Cardio fitness
Day 14,Weight Gain,Cardio,Gym,Light Cycling,40,Medium,280,143,290,74,2470,Endurance
Day 12,Weight Maintain,Strength Training,Gym,Split Workout,45,High,450,124,224,51,2013,Strength balance
Day 16,Weight Maintain,Strength Training,Home,Split Workout,42,Low,210,137,218,50,2166,Strength balance
Day 14,Weight Maintain,Yoga,Home,Vinyasa Yoga,66,Medium,330,110,204,62,2065,Mobility
Day 2,Weight Maintain,Strength Training,Gym,Split Workout,47,Low,141,119,203,62,2132,Strength balance
Day 16,Weight Loss,Cardio,Gym,Running / Cycling,67,Low,268,141,179,52,1837,"Fat loss, heart health"
Day 27,Weight Gain,HIIT,Gym,Moderate HIIT,32,High,288,177,348,72,2991,Conditioning
Day 27,Weight Maintain,HIIT,Home,Mixed HIIT,47,Medium,329,128,230,59,2147,Overall fitness
Day 9,Weight Loss,Yoga,Home,Power Yoga,31,Low,124,125,152,52,1652,Flexibility & metabolism
Day 28,Weight Gain,Cardio,Gym,Light Cycling,73,High,584,155,313,74,2861,Endurance
Day 15,Weight Gain,Strength Training,Home,Compound Lifts,49,Low,196,141,281,66,2886,Muscle growth
Day 11,Weight Gain,Cardio,Home,Light Cycling,41,Medium,328,161,308,70,2779,Endurance
Day 3,Weight Loss,Strength Training,Home,Circuit Training,73,Medium,365,124,155,44,1797,Muscle tone
Day 23,Weight Gain,HIIT,Gym,Moderate HIIT,56,High,616,173,338,61,2442,Conditioning
Day 15,Weight Loss,HIIT,Home,"Burpees, Jump Squats",44,Medium,220,130,139,58,1771,Rapid calorie burn
Day 5,Weight Maintain,HIIT,Gym,Mixed HIIT,62,Medium,372,121,214,65,2053,Overall fitness
Day 16,Weight Gain,Strength Training,Gym,Compound Lifts,41,Medium,328,176,360,67,2509,Muscle growth
Day 28,Weight Loss,Strength Training,Gym,Circuit Training,45,High,450,124,169,56,1731,Muscle tone
Day 25,Weight Gain,HIIT,Home,Moderate HIIT,57,Medium,285,170,306,78,2893,Conditioning
Day 30,Weight Maintain,Yoga,Gym,Vinyasa Yoga,51,Medium,255,134,218,54,2072,Mobility
Day 23,Weight Loss,Cardio,Gym,Running / Cycling,74,High,592,131,162,47,1768,"Fat loss, heart health"
Day 22,Weight Gain,HIIT,Gym,Moderate HIIT,58,Low,174,143,348,67,2935,Conditioning
Day 21,Weight Maintain,Strength Training,Home,Split Workout,57,Medium,456,117,203,51,2180,Strength balance
Day 28,Weight Maintain,Strength Training,Gym,Split Workout,42,Medium,294,127,230,59,2092,Strength balance
Day 24,Weight Gain,Cardio,Home,Light Cycling,73,High,803,150,353,67,2403,Endurance
Day 11,Weight Gain,Cardio,Gym,Light Cycling,44,High,528,177,348,80,2545,Endurance
Day 10,Weight Loss,HIIT,Gym,"Burpees, Jump Squats",32,High,320,121,158,59,1703,Rapid calorie burn
Day 1,Weight Maintain,HIIT,Home,Mixed HIIT,30,Medium,180,128,200,53,2037,Overall fitness
